city,date,temperature,feels_like,humidity,description,wind_speed
Istanbul,2025-04-13,8.0,5.5,68,overcast clouds,1.61
Istanbul,2025-04-14,10.0,7.2,61,overcast clouds,2.56
Istanbul,2025-04-15,11.6,9.0,64,overcast clouds,3.0
Istanbul,2025-04-16,14.2,11.7,49,overcast clouds,2.39
Istanbul,2025-04-17,13.8,11.2,65,overcast clouds,3.97
Istanbul,2025-04-18,12.6,10.8,75,moderate drizzle,3.11
Istanbul,2025-04-19,12.1,10.7,76,overcast clouds,2.31
Istanbul,2025-04-20,12.9,11.7,71,overcast clouds,1.56
Istanbul,2025-04-21,14.9,13.8,66,overcast clouds,1.75
Istanbul,2025-04-22,14.5,12.3,68,overcast clouds,3.97
Istanbul,2025-04-23,12.9,10.6,79,overcast clouds,4.44
Istanbul,2025-04-24,12.4,9.9,80,overcast clouds,4.08
Istanbul,2025-04-25,13.3,12.0,73,overcast clouds,1.83
Istanbul,2025-04-26,15.7,14.8,73,light drizzle,2.47
Istanbul,2025-04-27,13.2,10.1,74,overcast clouds,5.44
Istanbul,2025-04-28,11.6,6.7,59,overcast clouds,7.03
Istanbul,2025-04-29,10.7,5.4,60,overcast clouds,7.14
Istanbul,2025-04-30,11.4,7.3,65,overcast clouds,5.89
Istanbul,2025-05-01,11.0,7.5,78,heavy rain,5.5
Istanbul,2025-05-02,12.6,10.5,74,overcast clouds,3.31
Istanbul,2025-05-03,13.3,11.8,66,clear sky,2.06
Istanbul,2025-05-04,15.5,13.8,51,clear sky,1.44
Istanbul,2025-05-05,19.4,18.0,45,overcast clouds,1.92
Istanbul,2025-05-06,21.0,20.2,52,overcast clouds,2.33
Istanbul,2025-05-07,22.1,21.3,50,overcast clouds,2.47
Istanbul,2025-05-08,20.1,19.6,61,overcast clouds,2.81
Istanbul,2025-05-09,19.4,18.8,64,light drizzle,3.06
Istanbul,2025-05-10,14.2,11.3,78,light rain,5.72
Istanbul,2025-05-11,13.8,11.8,70,overcast clouds,3.47
Istanbul,2025-05-12,14.0,12.7,71,overcast clouds,2.47
Istanbul,2025-05-13,13.9,11.4,68,light drizzle,4.28
Istanbul,2025-05-14,14.2,11.6,55,overcast clouds,3.28
Istanbul,2025-05-15,15.7,13.5,44,overcast clouds,1.75
Istanbul,2025-05-16,18.7,16.7,45,light drizzle,2.14
Istanbul,2025-05-17,17.4,16.9,77,moderate rain,3.08
Istanbul,2025-05-18,15.3,15.1,80,light rain,1.64
Istanbul,2025-05-19,16.5,16.3,72,clear sky,2.08
Istanbul,2025-05-20,17.6,17.9,74,light drizzle,1.64
Istanbul,2025-05-21,19.8,19.5,57,overcast clouds,1.81
Istanbul,2025-05-22,22.9,22.0,45,overcast clouds,1.97
Istanbul,2025-05-23,23.9,23.5,45,overcast clouds,1.92
Istanbul,2025-05-24,23.1,23.1,56,overcast clouds,2.67
Istanbul,2025-05-25,19.4,19.0,72,dense drizzle,3.81
Istanbul,2025-05-26,17.4,17.6,85,moderate rain,2.75
Istanbul,2025-05-27,17.0,16.5,72,light drizzle,2.44
Istanbul,2025-05-28,18.6,19.5,78,light drizzle,1.86
Istanbul,2025-05-29,19.3,19.9,71,moderate rain,1.75
Istanbul,2025-05-30,18.7,18.4,75,light drizzle,3.61
Istanbul,2025-05-31,18.2,17.1,74,moderate drizzle,4.67
Istanbul,2025-06-01,19.5,18.9,67,moderate drizzle,3.11
Istanbul,2025-06-02,20.3,20.8,64,light drizzle,1.61
Istanbul,2025-06-03,22.6,22.5,51,clear sky,1.72
Istanbul,2025-06-04,24.7,24.7,46,clear sky,1.69
Istanbul,2025-06-05,25.3,23.8,39,clear sky,3.94
Istanbul,2025-06-06,22.9,22.7,65,clear sky,4.56
Istanbul,2025-06-07,21.8,21.9,69,overcast clouds,4.17
Istanbul,2025-06-08,21.8,22.7,71,partly cloudy,3.11
Istanbul,2025-06-09,22.0,22.5,66,overcast clouds,3.06
Istanbul,2025-06-10,22.7,23.0,74,overcast clouds,4.97
Istanbul,2025-06-11,23.2,23.5,70,partly cloudy,4.83
Istanbul,2025-06-12,23.5,24.6,71,overcast clouds,3.83
Istanbul,2025-06-13,22.5,22.3,67,overcast clouds,4.69
Istanbul,2025-06-14,21.7,20.9,60,mainly clear,4.03
Istanbul,2025-06-15,21.2,20.6,56,partly cloudy,2.64
Istanbul,2025-06-16,22.6,22.3,48,mainly clear,1.58
Hong Kong,2020-01-01,17.2,14.4,80,overcast clouds,7.67
Hong Kong,2020-01-02,17.4,15.8,82,overcast clouds,5.83
Hong Kong,2020-01-03,18.3,17.5,83,overcast clouds,5.19
Hong Kong,2020-01-04,18.6,18.3,85,overcast clouds,4.47
Hong Kong,2020-01-05,18.9,17.0,86,overcast clouds,7.83
Hong Kong,2020-01-06,19.4,18.2,86,partly cloudy,7.08
Hong Kong,2020-01-07,20.0,21.8,93,overcast clouds,2.89
Hong Kong,2020-01-08,20.4,19.7,75,overcast clouds,5.28
Hong Kong,2020-01-09,18.4,15.7,84,overcast clouds,8.72
Hong Kong,2020-01-10,19.0,18.0,87,overcast clouds,6.61
Hong Kong,2020-01-11,19.7,19.8,84,overcast clouds,4.56
Hong Kong,2020-01-12,16.2,12.8,63,overcast clouds,6.08
Hong Kong,2020-01-13,17.0,15.0,79,moderate drizzle,6.03
Hong Kong,2020-01-14,18.2,16.3,79,overcast clouds,6.64
Hong Kong,2020-01-15,18.6,16.2,84,light drizzle,8.44
Hong Kong,2020-01-16,19.1,18.2,87,overcast clouds,6.39
Hong Kong,2020-01-17,17.0,13.9,62,overcast clouds,5.67
Hong Kong,2020-01-18,16.5,14.1,73,overcast clouds,5.72
Hong Kong,2020-01-19,16.8,15.0,78,light drizzle,5.31
Hong Kong,2020-01-20,16.5,14.7,75,overcast clouds,4.81
Hong Kong,2020-01-21,18.3,16.8,82,overcast clouds,6.25
Hong Kong,2020-01-22,19.3,19.3,88,overcast clouds,5.0
Hong Kong,2020-01-23,20.3,21.7,93,overcast clouds,3.86
Hong Kong,2020-01-24,20.5,21.5,95,light drizzle,5.19
Hong Kong,2020-01-25,19.3,17.6,88,light rain,8.36
Hong Kong,2020-01-26,15.4,12.5,82,light rain,7.06
Hong Kong,2020-01-27,12.9,8.8,68,light drizzle,6.56
Hong Kong,2020-01-28,12.7,8.3,65,light drizzle,6.67
Hong Kong,2020-01-29,13.4,8.6,56,overcast clouds,6.81
Hong Kong,2020-01-30,14.3,9.2,47,clear sky,7.11
Hong Kong,2020-01-31,14.6,10.2,52,clear sky,6.19
Hong Kong,2020-02-01,16.0,12.4,72,overcast clouds,7.42
Hong Kong,2020-02-02,16.8,13.7,82,light drizzle,8.11
Hong Kong,2020-02-03,17.6,15.4,84,dense drizzle,7.31
Hong Kong,2020-02-04,16.9,14.5,83,light drizzle,7.14
Hong Kong,2020-02-05,17.3,15.1,85,light drizzle,7.11
Hong Kong,2020-02-06,17.2,13.7,83,light drizzle,9.47
Hong Kong,2020-02-07,18.2,17.0,84,light drizzle,5.86
Hong Kong,2020-02-08,16.5,14.2,76,overcast clouds,5.83
Hong Kong,2020-02-09,15.5,12.9,73,overcast clouds,5.31
Hong Kong,2020-02-10,16.0,13.9,74,overcast clouds,4.92
Hong Kong,2020-02-11,17.7,16.4,88,moderate drizzle,6.19
Hong Kong,2020-02-12,18.8,20.0,94,overcast clouds,3.33
Hong Kong,2020-02-13,18.9,20.4,96,light rain,3.08
