time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2021-04-08,63,26.6,31.8,84,6.0
2021-04-09,61,26.3,31.5,85,5.1
2021-04-10,61,26.9,32.8,86,4.2
2021-04-11,51,26.9,32.5,83,4.3
2021-04-12,63,27.2,32.9,83,4.3
2021-04-13,63,26.7,32.2,84,4.9
2021-04-14,63,26.6,32.3,85,3.7
2021-04-15,55,26.4,31.9,86,4.1
2021-04-16,63,26.4,31.7,85,4.1
2021-04-17,63,26.5,31.9,85,4.4
2021-04-18,53,26.8,32.4,84,4.1
2021-04-19,61,26.8,32.5,86,5.0
2021-04-20,53,27.0,32.4,82,5.1
2021-04-21,61,26.8,32.4,85,4.2
2021-04-22,65,26.1,31.3,88,6.8
2021-04-23,53,26.6,31.7,85,6.0
2021-04-24,61,26.2,31.4,86,5.0
2021-04-25,53,27.0,32.9,85,3.9
2021-04-26,63,26.3,31.9,87,4.8
2021-04-27,61,26.4,32.1,88,3.5
2021-04-28,61,26.6,32.1,85,4.2
2021-04-29,63,26.6,32.2,86,4.1
2021-04-30,63,25.8,31.2,89,5.0
2021-05-01,63,26.9,32.4,83,4.9
2021-05-02,55,27.2,32.6,84,6.6
2021-05-03,61,27.1,32.7,85,5.3
2021-05-04,63,26.8,32.5,86,4.2
2021-05-05,63,26.4,32.1,88,4.1
2021-05-06,53,25.8,31.2,89,3.6
2021-05-07,63,27.4,33.3,84,3.6
2021-05-08,63,26.8,32.6,87,4.6
2021-05-09,63,27.2,32.9,84,3.8
2021-05-10,63,27.3,33.2,85,3.8
2021-05-11,63,27.1,32.8,85,4.9
2021-05-12,63,26.6,32.4,89,4.7
2021-05-13,63,27.1,33.5,88,3.4
2021-05-14,61,26.8,33.0,90,3.9
2021-05-15,63,27.1,33.1,87,5.0
2021-05-16,61,27.2,33.2,88,4.3
2021-05-17,63,26.6,32.5,88,4.5
2021-05-18,61,25.9,31.6,89,3.1
2021-05-19,53,26.7,32.3,86,3.7
2021-05-20,55,26.6,31.9,84,4.0
2021-05-21,63,26.5,31.7,85,5.1
2021-05-22,53,26.8,32.3,86,4.6
2021-05-23,3,27.8,33.3,78,3.4
2021-05-24,51,27.9,33.6,82,4.8
2021-05-25,53,27.8,33.7,85,5.4
